"date","bin","roi_sec","mean_area","median_area"
2019-04-03,"(-2.72,-2.41]",0.00333333333333333,0.00234386297916667,0.0022443195
2019-04-03,"(-3.02,-2.72]",0.0295833333333333,0.00130889553802817,0.001261601
2019-04-03,"(-3.33,-3.02]",0.163611111111111,0.000597903363157895,0.000563146
2019-04-03,"(-3.63,-3.33]",0.268263888888889,0.000353751388972301,0.0003540324
2019-04-03,"< -3.63",0.144305555555556,0.00016259935014437,0.0001545288
2019-04-03,"> -2.41",0.000138888888888889,0.004173239,0.004173239
2019-04-04,"(-2.72,-2.41]",0.00263888888888889,0.00233628197368421,0.0022156815
2019-04-04,"(-3.02,-2.72]",0.0338888888888889,0.00132605161352459,0.0012923525
2019-04-04,"(-3.33,-3.02]",0.108402777777778,0.000616710083792441,0.0005873632
2019-04-04,"(-3.63,-3.33]",0.142222222222222,0.000353183454101562,0.000353648
2019-04-04,"< -3.63",0.0904861111111111,0.000164082452801228,0.0001572196
2019-04-04,"> -2.41",0.000138888888888889,0.0091990745,0.0091990745
2019-04-05,"(-2.72,-2.41]",0.00229166666666667,0.00236586563636364,0.002244512
2019-04-05,"(-3.02,-2.72]",0.0271527777777778,0.0012838271831202,0.001236615
2019-04-05,"(-3.33,-3.02]",0.155277777777778,0.000601536488729875,0.000574678
2019-04-05,"(-3.63,-3.33]",0.222777777777778,0.000354530035037406,0.00035557
2019-04-05,"< -3.63",0.123680555555556,0.000161945281078046,0.0001541444
2019-04-05,"> -2.41",0.000208333333333333,0.00506062566666667,0.005148269
2019-04-06,"(-2.72,-2.41]",0.00166666666666667,0.00228082133333333,0.002204918
2019-04-06,"(-3.02,-2.72]",0.0220833333333333,0.00128799266226415,0.001262946
2019-04-06,"(-3.33,-3.02]",0.122847222222222,0.000600332842962126,0.0005758312
2019-04-06,"(-3.63,-3.33]",0.174236111111111,0.000351974197688322,0.000353648
2019-04-06,"< -3.63",0.130694444444444,0.000159540297555792,0.0001506848
2019-04-06,"> -2.41",6.94444444444444e-05,0.004056573,0.004056573
2019-04-07,"(-2.72,-2.41]",0.00152777777777778,0.00226146013636364,0.002114008
2019-04-07,"(-3.02,-2.72]",0.02,0.00132039130208333,0.001284857
